id_queima,id_forno,tipo_forno,tipo_lenha_utilizada,quantidade_lenha_utilizada_kg,data_inicio_queima,data_fim_queima,tempo_total_queima_horas,temperatura_forno_c,quantidade_telhas_no_forno,responsavel_queima,id_lote,quantidade_telhas_produzidas,quantidade_telhas_com_defeito
Q2026092321280901,F001,Forno Intermitente,Eucalipto,1476.0,2026-09-23 21:28,2026-09-25 23:10,49.7,873,8000,Emanuel,L2026092321280902,8000,817
Q2026092321280903,F002,Forno Túnel,Pinus,1229.0,2026-09-23 21:28,2026-09-24 17:40,20.2,876,10000,Emanuel,L2026092321280904,10000,189
Q2026092321280905,F003,Forno Intermitente,Resíduo de Madeira,907.2,2026-09-23 21:28,2026-09-26 01:10,51.7,911,8000,Emanuel,L2026092321280906,8000,146
Q2026092321280907,F004,Forno Intermitente,Eucalipto,918.4,2026-09-23 21:28,2026-09-24 22:58,25.5,778,8000,Ravi Lucca,L2026092321280908,8000,612
Q2026092321280909,F005,Forno Caieira,Angico,1085.6,2026-09-23 21:28,2026-09-25 06:34,33.1,890,8000,Amanda,L2026092321280910,8000,344
Q2026092321280911,F006,Forno Caieira,Pinus,2926.8,2026-09-23 21:28,2026-09-25 21:46,48.3,971,18000,Matheus,L2026092321280912,18000,160
Q2026092321280913,F007,Forno Intermitente,Pinus,1696.0,2026-09-23 21:28,2026-09-25 17:28,44.0,887,10000,Eloá,L2026092321280914,10000,322
Q2026092321280915,F008,Forno Intermitente,Angico,2608.2,2026-09-23 21:28,2026-09-25 22:40,49.2,862,18000,Ravi Lucca,L2026092321280916,18000,1904
Q2026092321280917,F009,Forno Túnel,Angico,3322.8,2026-09-23 21:28,2026-09-26 17:22,67.9,870,18000,Guilherme,L2026092321280918,18000,1329
Q2026092321280919,F010,Forno Caieira,Aroeira,1060.0,2026-09-23 21:28,2026-09-25 08:34,35.1,791,10000,Rafael,L2026092321280920,10000,344
Q2026092321280921,F011,Forno Túnel,Eucalipto,1766.4,2026-09-23 21:28,2026-09-25 14:04,40.6,972,12000,Caleb,L2026092321280922,12000,1101
Q2026092321280923,F012,Forno Túnel,Pinus,1740.0,2026-09-23 21:28,2026-09-25 11:34,38.1,918,8000,Caleb,L2026092321280924,8000,260
